,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_samples,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
584,2.8305558363596597,0.2341719899629085,0.11086440086364746,0.0016760867486417012,entropy,12,0.75,2,2,80,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.75, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 80}",0.7908069115920148,0.7882431529726119,0.7810218978102189,0.7866906541249485,0.00414281009151042,242
585,3.984940846761068,0.04906311942913015,0.17340747515360513,0.0010734702966889444,entropy,12,0.75,2,2,128,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.75, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 128}",0.7899949639080074,0.7894296705134638,0.7821024617431803,0.7871756987215505,0.0035947358952135924,228
586,6.1370595296223955,0.051468123777638465,0.28219127655029297,0.023489093609311208,entropy,12,0.75,2,2,200,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.75, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.788860759493671,0.789350301406564,0.7801064537591483,0.7861058382197945,0.004246910504598315,254
587,9.21760090192159,0.044685423238589116,0.4021727244059245,0.004659691512322824,entropy,12,0.75,2,2,300,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.75, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",0.791057320558077,0.7883775613033255,0.7845285524568394,0.787987811439414,0.0026795686154365305,209
588,2.4754526615142822,0.017516758800336176,0.11307477951049805,0.00436484128951142,entropy,12,0.75,2,4,80,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.75, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 80}",0.7855940760686636,0.7837837837837839,0.7816282540208922,0.7836687046244465,0.0016210836989151804,285
589,3.979360898335775,0.05191830044703078,0.17572800318400064,0.0010495202882795176,entropy,12,0.75,2,4,128,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.75, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 128}",0.7905485232067511,0.7885447885447885,0.7843137254901961,0.7878023457472452,0.0025989217792907592,214
590,6.191619396209717,0.05360279181222564,0.28734175364176434,0.02818280957410363,entropy,12,0.75,2,4,200,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.75, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 200}",0.7896604156107451,0.7888685219130145,0.7817275747508305,0.7867521707581967,0.003567604021847743,240
591,9.64436443646749,0.08929134318838676,0.3955344359079997,0.0005456573095644147,entropy,12,0.75,2,4,300,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.75, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 300}",0.7907133243606999,0.7891566265060241,0.7829829498427412,0.7876176335698218,0.003338267713474244,217
592,2.5156752268473306,0.15019140604234058,0.10948427518208821,0.0009287476596650892,entropy,12,0.75,3,2,80,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.75, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 80}",0.7886563133018232,0.7875943000838223,0.7808672624958624,0.7857059586271692,0.0034488358622531815,263
593,3.8805577754974365,0.022058243238399212,0.178116242090861,0.003038925129740153,entropy,12,0.75,3,2,128,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.75, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 128}",0.7852201788425847,0.7871419053964024,0.7791217895608947,0.783827957933294,0.0034189933995197974,284
594,6.144275585810344,0.009975201485859578,0.26998432477315265,0.0046179334174199236,entropy,12,0.75,3,2,200,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.75, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 200}",0.789261744966443,0.7881625146296606,0.7779255319148936,0.7851165971703323,0.005104615001108321,270
595,9.145955721537272,0.017887459485079475,0.39600880940755206,0.0021154692775345514,entropy,12,0.75,3,2,300,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.75, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 300}",0.7865812542144303,0.7894123522557017,0.7802197802197802,0.7854044622299706,0.0038439974583687067,265
596,2.499539534250895,0.04082602958686115,0.1110068957010905,0.0011174966853275555,entropy,12,0.75,3,4,80,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.75, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 80}",0.7842087654734025,0.7892451569806279,0.7794701986754967,0.784308040376509,0.003991227388206411,281
